,support,itemsets
198,0.06060606060606061,"frozenset({'productType', 'UPBoriginal'})"
199,0.06060606060606061,"frozenset({'propertyType', 'propertyState'})"
200,0.09090909090909091,"frozenset({'UPBactual', 'propertyState'})"
201,0.15151515151515152,"frozenset({'UPBoriginal', 'propertyState'})"
202,0.09090909090909091,"frozenset({'propertyState', 'LTV'})"
203,0.09090909090909091,"frozenset({'creditScoreOriginal', 'propertyState'})"
204,0.12121212121212122,"frozenset({'LTVoriginal', 'propertyState'})"
205,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'propertyState'})"
206,0.06060606060606061,"frozenset({'propertyType', 'UPBoriginal'})"
207,0.12121212121212122,"frozenset({'UPBactual', 'UPBoriginal'})"
208,0.09090909090909091,"frozenset({'UPBactual', 'LTV'})"
209,0.06060606060606061,"frozenset({'creditScoreOriginal', 'UPBactual'})"
210,0.09090909090909091,"frozenset({'LTVoriginal', 'UPBactual'})"
211,0.09090909090909091,"frozenset({'UPBoriginal', 'LTV'})"
212,0.06060606060606061,"frozenset({'CLTV', 'UPBoriginal'})"
213,0.12121212121212122,"frozenset({'creditScoreOriginal', 'UPBoriginal'})"
214,0.15151515151515152,"frozenset({'LTVoriginal', 'UPBoriginal'})"
215,0.12121212121212122,"frozenset({'CLTV', 'LTV'})"
216,0.09090909090909091,"frozenset({'paymentToIncome', 'LTV'})"
217,0.2727272727272727,"frozenset({'creditScoreOriginal', 'LTV'})"
218,0.3333333333333333,"frozenset({'LTVoriginal', 'LTV'})"
219,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'LTV'})"
220,0.12121212121212122,"frozenset({'creditScoreOriginal', 'CLTV'})"
221,0.06060606060606061,"frozenset({'LTVoriginal', 'CLTV'})"
222,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'CLTV'})"
223,0.21212121212121213,"frozenset({'creditScoreOriginal', 'LTVoriginal'})"
224,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'creditScoreOriginal'})"
225,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'LTVoriginal'})"
226,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'creditScore', 'CLTVoriginal'})"
227,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'creditScore', 'CLTVoriginal'})"
228,0.09090909090909091,"frozenset({'interestRateCurrent', 'creditScore', 'CLTVoriginal'})"
229,0.12121212121212122,"frozenset({'CLTVoriginal', 'creditScore', 'interestRateOriginal'})"
230,0.09090909090909091,"frozenset({'loanAge', 'creditScore', 'CLTVoriginal'})"
231,0.06060606060606061,"frozenset({'creditScore', 'CLTVoriginal', 'loanPurpose'})"
232,0.12121212121212122,"frozenset({'numberOfBorrowers', 'creditScore', 'CLTVoriginal'})"
233,0.06060606060606061,"frozenset({'numberOfUnits', 'creditScore', 'CLTVoriginal'})"
234,0.06060606060606061,"frozenset({'occupancyStatus', 'creditScore', 'CLTVoriginal'})"
235,0.09090909090909091,"frozenset({'postalCode', 'creditScore', 'CLTVoriginal'})"
236,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'creditScore', 'CLTVoriginal'})"
237,0.09090909090909091,"frozenset({'propertyState', 'creditScore', 'CLTVoriginal'})"
238,0.06060606060606061,"frozenset({'UPBactual', 'creditScore', 'CLTVoriginal'})"
239,0.12121212121212122,"frozenset({'UPBoriginal', 'creditScore', 'CLTVoriginal'})"
240,0.12121212121212122,"frozenset({'LTV', 'CLTVoriginal', 'creditScore'})"
241,0.12121212121212122,"frozenset({'CLTV', 'creditScore', 'CLTVoriginal'})"
242,0.21212121212121213,"frozenset({'creditScoreOriginal', 'creditScore', 'CLTVoriginal'})"
243,0.06060606060606061,"frozenset({'LTVoriginal', 'creditScore', 'CLTVoriginal'})"
244,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'creditScore', 'CLTVoriginal'})"
245,0.06060606060606061,"frozenset({'interestRateCurrent', 'currentLoanDelinquencyStatus', 'CLTVoriginal'})"
246,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'CLTVoriginal', 'interestRateOriginal'})"
247,0.06060606060606061,"frozenset({'numberOfBorrowers', 'currentLoanDelinquencyStatus', 'CLTVoriginal'})"
248,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'postalCode', 'CLTVoriginal'})"
249,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'propertyState', 'CLTVoriginal'})"
250,0.06060606060606061,"frozenset({'UPBactual', 'currentLoanDelinquencyStatus', 'CLTVoriginal'})"
251,0.06060606060606061,"frozenset({'UPBoriginal', 'currentLoanDelinquencyStatus', 'CLTVoriginal'})"
252,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'CLTVoriginal', 'interestRateOriginal'})"
253,0.06060606060606061,"frozenset({'numberOfBorrowers', 'DebtToIncomeRatioOriginal', 'CLTVoriginal'})"
254,0.06060606060606061,"frozenset({'numberOfUnits', 'DebtToIncomeRatioOriginal', 'CLTVoriginal'})"
255,0.06060606060606061,"frozenset({'postalCode', 'DebtToIncomeRatioOriginal', 'CLTVoriginal'})"
256,0.06060606060606061,"frozenset({'propertyState', 'DebtToIncomeRatioOriginal', 'CLTVoriginal'})"
257,0.06060606060606061,"frozenset({'UPBoriginal', 'DebtToIncomeRatioOriginal', 'CLTVoriginal'})"
258,0.09090909090909091,"frozenset({'interestRateCurrent', 'CLTVoriginal', 'interestRateOriginal'})"
259,0.06060606060606061,"frozenset({'loanAge', 'interestRateCurrent', 'CLTVoriginal'})"
260,0.06060606060606061,"frozenset({'interestRateCurrent', 'numberOfBorrowers', 'CLTVoriginal'})"
261,0.06060606060606061,"frozenset({'interestRateCurrent', 'postalCode', 'CLTVoriginal'})"
262,0.06060606060606061,"frozenset({'interestRateCurrent', 'propertyState', 'CLTVoriginal'})"
263,0.06060606060606061,"frozenset({'UPBactual', 'interestRateCurrent', 'CLTVoriginal'})"
264,0.06060606060606061,"frozenset({'UPBoriginal', 'interestRateCurrent', 'CLTVoriginal'})"
265,0.06060606060606061,"frozenset({'interestRateCurrent', 'LTV', 'CLTVoriginal'})"
266,0.06060606060606061,"frozenset({'creditScoreOriginal', 'interestRateCurrent', 'CLTVoriginal'})"
267,0.06060606060606061,"frozenset({'loanAge', 'CLTVoriginal', 'interestRateOriginal'})"
268,0.09090909090909091,"frozenset({'numberOfBorrowers', 'CLTVoriginal', 'interestRateOriginal'})"
269,0.06060606060606061,"frozenset({'numberOfUnits', 'CLTVoriginal', 'interestRateOriginal'})"
270,0.09090909090909091,"frozenset({'postalCode', 'CLTVoriginal', 'interestRateOriginal'})"
271,0.09090909090909091,"frozenset({'propertyState', 'CLTVoriginal', 'interestRateOriginal'})"
272,0.06060606060606061,"frozenset({'UPBactual', 'CLTVoriginal', 'interestRateOriginal'})"
273,0.09090909090909091,"frozenset({'UPBoriginal', 'CLTVoriginal', 'interestRateOriginal'})"
274,0.06060606060606061,"frozenset({'LTV', 'CLTVoriginal', 'interestRateOriginal'})"
275,0.09090909090909091,"frozenset({'creditScoreOriginal', 'CLTVoriginal', 'interestRateOriginal'})"
276,0.06060606060606061,"frozenset({'loanAge', 'CLTVoriginal', 'loanPurpose'})"
277,0.06060606060606061,"frozenset({'loanAge', 'numberOfBorrowers', 'CLTVoriginal'})"
278,0.06060606060606061,"frozenset({'occupancyStatus', 'loanAge', 'CLTVoriginal'})"
279,0.06060606060606061,"frozenset({'loanAge', 'preHarpLoanSequenceNumber', 'CLTVoriginal'})"
280,0.06060606060606061,"frozenset({'loanAge', 'UPBoriginal', 'CLTVoriginal'})"
281,0.06060606060606061,"frozenset({'creditScoreOriginal', 'loanAge', 'CLTVoriginal'})"
282,0.06060606060606061,"frozenset({'numberOfBorrowers', 'CLTVoriginal', 'loanPurpose'})"
